,Brand Name,Size,Brand Size
0,Roadster,38.0, S
1,Roadster,40.0,M
2,Roadster,42.0,L
3,Roadster,44.0,XL
4,Roadster,46.0,XXL
5,Roadster,48.0,3XL
6,WROGN,39.0,S
7,WROGN,40.0,M
8,WROGN,42.0,L
9,WROGN,44.0,XL
10,WROGN,46.0,XXL
11,WROGN,39.0,S
12,WROGN,40.0,M
13,WROGN,42.0,L
14,WROGN,44.0,XL
15,WROGN,46.0,XXL
16,Dennis Lingo,38.0,S
17,Dennis Lingo,40.0,M
18,Dennis Lingo,42.0,L
19,Dennis Lingo,44.0,XL
20,Dennis Lingo,46.0,XXL
21,Highlander,39.0,S
22,Highlander,40.0,M
23,Highlander,42.0,L
24,Highlander,44.0,XL
25,Highlander,46.0,XXL
26,Campus Sutra,38.0,S
27,Campus Sutra,40.0,M
28,Campus Sutra,42.0,L
29,Campus Sutra,44.0,XL
30,The Indian Garage,39.0,S
31,The Indian Garage,40.0,M
32,The Indian Garage,42.0,L
33,The Indian Garage,44.0,XL
34,The Indian Garage,46.0,XXL
35,INVICTUS,38.0,S
36,INVICTUS,39.0,M
37,INVICTUS,40.0,L
38,INVICTUS,42.0,XL
39,INVICTUS,44.0,XXL
40,The Bear House,38.0,S
41,The Bear House,40.0,M
42,The Bear House,42.0,L
43,The Bear House,44.0,XL
44,The Bear House,46.0,XXL
45,United Colors of Benetto,38.0,S
46,United Colors of Benetto,40.0,M
47,United Colors of Benetto,42.0,L
48,United Colors of Benetto,44.0,XL
49,US POLO,38.0, S
50,US POLO,40.0, M
51,US POLO,42.0,L
52,US POLO,44.0,XL
53,US POLO,46.0,XXL
54,LOCOMOTIVE,39.0,S
55,LOCOMOTIVE,40.0,M
56,LOCOMOTIVE,42.0,L
57,LOCOMOTIVE,44.0,XL
58,HERE & NOW,38.0,S
59,HERE & NOW,40.0,M
60,HERE & NOW,42.0,L
61,HERE & NOW,44.0,XL
62,HERE & NOW,46.0,XXL
63,Mast & Harbour,38.0, S
64,Mast & Harbour,40.0,M
65,Mast & Harbour,42.0,L
66,Mast & Harbour,44.0,XL
67,Peter England,38.0,XS
68,Peter England,39.0,S
69,Peter England,40.0,M
70,Peter England,42.0,L
71,Peter England,44.0,XL
72,Peter England,46.0,XXL
73,Arrow Sport,38.0,S
74,Arrow Sport,39.0,M
75,Arrow Sport,40.0,L
76,Arrow Sport,42.0,XL
77,Arrow Sport,44.0,XXL
78,Wild West,38.0,S
79,Wild West,40.0,M
80,Wild West,42.0,L
81,Wild West,44.0,XL
82,Wild West,46.0,XXL
83,Van Heusen Denim Labs,38.0,XS
84,Van Heusen Denim Labs,39.0,S
85,Van Heusen Denim Labs,40.0,M
86,Van Heusen Denim Labs,42.0,L
87,Van Heusen Denim Labs,44.0,XL
88,Van Heusen Denim Labs,46.0,XXL
89,Bene Kleed,38.0,S
90,Bene Kleed,39.0,M
91,Bene Kleed,40.0,L
92,Bene Kleed,42.0,XL
93,Bene Kleed,44.0,XXL
94,R&B,38.0,S
95,R&B,40.0,M
96,R&B,42.0,L
97,R&B,44.0,XL
98,R&B,46.0,XXL
99,JANISH,36.0,XS
100,JANISH,38.0,S
101,JANISH,40.0,M
102,JANISH,42.0,L
103,JANISH,44.0,XL
109,Van Heusen Sport,38.0,XS
110,Van Heusen Sport,39.0,S
111,Van Heusen Sport,40.0,M
112,Van Heusen Sport,42.0,L
113,Ether,38.0, S
114,Ether,40.0, M
115,Ether,42.0, L
116,Ether,44.0,XL
117,Nautica,39.0,S
118,Nautica,40.0, M
119,Nautica,42.0, L
120,Nautica,44.0,XL
121,Nautica,46.0,XXL
122,IVOC,38.0, XS
123,IVOC,39.0,S
124,IVOC,40.0, M
125,IVOC,42.0,L
126,IVOC,44.0,XL
127,V Mart,38.0,S
128,V Mart,40.0,M
129,V Mart,42.0,L
130,V Mart,44.0,XL
131,V Mart,46.0,XXL
132,Harvard,38.0,S
133,Harvard,40.0,M
134,Harvard,42.0,L
135,Harvard,44.0,XL
136,Allen Solly,38.0,XS
137,Allen Solly,39.0, S
138,Allen Solly,40.0,M
139,Allen Solly,42.0,L
140,Allen Solly,44.0,XL
141,Allen Solly,46.0,XXL
142,Tisbtane,38.0,S
143,Tisbtane,40.0,M
